Sequence,Group,Q69 RMSF (A),I134 RMSF (A),Y23 RMSF (A),K59 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A)
nonb_082_nb,False Positive,4.002,2.607,1.302,0.689,0.685,1.157,1.217
nonb_085_nb,False Positive,4.071,3.563,1.505,1.942,0.911,0.942,1.261
nonb_086_nb,False Positive,4.658,3.15,1.143,1.075,0.948,0.821,0.975
nonb_087_nb,False Positive,2.937,2.642,0.907,0.861,0.782,0.747,0.874
nonb_088_nb,False Positive,4.455,2.685,0.748,0.76,0.84,0.905,1.533
nonb_089_nb,False Positive,4.902,3.224,3.881,1.939,0.883,1.011,1.017
nonb_115_nb,False Positive,3.308,3.139,0.892,0.773,1.357,0.982,0.672
nonb_116_nb,False Positive,4.308,2.648,1.366,1.45,1.297,0.935,3.358
nonb_117_nb,False Positive,2.737,3.98,1.72,1.18,0.605,0.851,1.184
pair_0091_nb,False Positive,3.882,2.574,1.982,0.68,1.597,0.863,1.163
pair_0272_nb,False Positive,4.06,3.348,1.01,1.17,1.486,0.756,0.93
pair_0482_nb,False Positive,4.753,3.859,1.836,1.241,0.713,1.182,2.621
pair_0506_nb,False Positive,2.398,2.622,1.28,1.247,0.528,0.786,0.914
pair_0567_nb,False Positive,2.941,2.962,1.231,1.363,2.083,0.93,2.013
pair_0736_nb,False Positive,4.148,2.896,1.114,1.089,0.95,0.986,1.148
pair_0782_nb,False Positive,3.239,2.791,1.332,0.768,0.564,1.019,1.205
pair_0811_nb,False Positive,5.052,3.573,1.004,1.304,1.506,1.104,1.451
pair_0822_nb,False Positive,2.597,3.386,3.982,0.709,0.538,0.876,1.085
pair_1654_nb,False Positive,2.621,3.484,2.566,0.7,0.55,0.757,1.125
cdca_001_binder,Binder,3.038,2.825,1.21,1.143,0.556,1.158,2.133
glca_001_binder,Binder,5.236,2.91,0.914,1.04,0.677,1.11,1.528
lca3s_001_binder,Binder,2.927,3.704,1.321,0.7,0.619,0.683,0.65
lca_001_binder,Binder,2.571,2.555,1.07,0.853,0.519,0.711,2.201
pair_0008_low_pkt,Low Confidence,4.833,2.947,1.283,1.015,0.566,0.824,1.081
pair_0065_low_pkt,Low Confidence,2.719,2.884,1.242,2.182,0.85,0.918,2.052
pair_0393_low_pkt,Low Confidence,5.418,2.439,1.262,1.544,1.144,0.735,0.678
pair_0482_low_pkt,Low Confidence,3.824,2.531,2.964,1.206,2.172,1.789,1.203
pair_0947_low_pkt,Low Confidence,2.925,3.134,1.055,1.219,0.618,0.604,1.495
pair_0948_low_pkt,Low Confidence,2.844,3.269,1.143,1.121,0.611,0.838,1.247
pair_1331_low_pkt,Low Confidence,4.253,3.584,0.808,0.774,0.937,1.409,0.92
pair_1413_low_pkt,Low Confidence,2.804,2.83,1.515,1.166,0.617,1.029,1.735
pair_1931_low_pkt,Low Confidence,3.833,2.925,0.846,0.642,0.539,0.684,1.024
pair_0014_fail_gate,Fail Geometry,3.271,3.729,0.854,1.149,0.611,1.018,1.372
pair_0263_fail_gate,Fail Geometry,3.105,4.285,1.296,0.639,0.572,0.755,0.645
pair_0540_fail_gate,Fail Geometry,3.977,2.561,1.258,0.886,1.202,0.596,0.934
pair_0715_fail_gate,Fail Geometry,2.823,3.255,1.362,0.678,0.63,0.835,0.858
pair_0997_fail_gate,Fail Geometry,3.395,2.994,3.586,0.85,0.675,0.775,0.883
pair_1094_fail_gate,Fail Geometry,3.939,2.717,2.416,1.076,0.565,1.262,1.923
pair_1682_fail_gate,Fail Geometry,2.891,2.418,2.451,1.177,0.541,0.934,1.638
pair_1739_fail_gate,Fail Geometry,2.389,3.817,1.043,0.838,0.728,0.736,1.824
pair_1745_fail_gate,Fail Geometry,2.571,2.923,1.25,0.856,0.536,0.808,1.262
pair_1941_fail_gate,Fail Geometry,3.628,4.408,0.885,1.008,2.281,0.816,1.319
