Sequence,Group,Q69 RMSF (A),I134 RMSF (A),Y23 RMSF (A),K59 RMSF (A),R79 RMSF (A),I110 RMSF (A),G163 RMSF (A)
pair_1938_nb,False Positive,2.996,2.947,3.904,0.732,0.789,0.783,1.377
pair_1961_nb,False Positive,4.631,3.556,1.131,0.872,2.224,1.018,0.916
pair_0008_low_pkt,Low Confidence,3.649,3.11,1.305,1.014,0.53,0.732,1.206
pair_0393_low_pkt,Low Confidence,4.517,2.48,0.901,1.158,0.841,0.702,0.641
pair_0482_low_pkt,Low Confidence,3.71,2.346,2.72,0.851,1.919,1.747,1.302
pair_0482_nb,False Positive,4.171,3.423,2.057,0.922,0.62,1.192,2.512
pair_1331_low_pkt,Low Confidence,4.67,3.498,0.77,0.837,0.891,1.451,1.031
pair_1931_low_pkt,Low Confidence,4.729,2.68,0.849,0.698,0.543,0.661,1.042
pair_0065_low_pkt,Low Confidence,2.874,2.979,0.934,1.834,0.715,0.935,2.054
pair_0947_low_pkt,Low Confidence,2.94,3.253,1.049,0.682,0.559,0.613,1.619
pair_0948_low_pkt,Low Confidence,2.778,2.933,1.15,1.007,0.579,0.939,1.18
pair_1413_low_pkt,Low Confidence,2.821,2.5,1.497,0.968,0.582,1.06,1.622
pair_0715_fail_gate,Fail Geometry,2.891,2.927,1.081,0.615,0.683,0.882,0.913
pair_1094_fail_gate,Fail Geometry,2.838,2.734,1.647,1.122,0.567,1.299,1.572
pair_1682_fail_gate,Fail Geometry,2.657,2.486,1.251,1.013,0.535,0.908,1.247
pair_1739_fail_gate,Fail Geometry,2.663,2.733,1.021,0.858,0.72,0.646,1.547
pair_1941_fail_gate,Fail Geometry,3.254,3.459,0.855,0.723,1.733,0.747,1.168
pair_0014_fail_gate,Fail Geometry,3.011,3.848,0.812,1.326,0.588,1.027,1.463
pair_0263_fail_gate,Fail Geometry,2.93,1.825,1.124,0.573,0.548,0.718,0.641
pair_0540_fail_gate,Fail Geometry,3.991,2.5,1.345,0.86,1.254,0.612,1.002
pair_0997_fail_gate,Fail Geometry,3.287,2.983,3.618,0.834,0.697,0.735,0.829
pair_1745_fail_gate,Fail Geometry,2.232,2.897,0.743,0.68,0.448,0.686,0.75
bind_019_binder,Binder,3.714,2.757,1.027,0.781,0.557,0.781,0.615
bind_020_binder,Binder,4.042,2.824,1.195,0.813,0.941,0.879,1.066
bind_022_binder,Binder,2.553,2.545,2.336,0.759,0.491,0.65,0.731
bind_034_binder,Binder,3.0,3.23,0.817,0.922,0.66,0.7,0.855
bind_041_binder,Binder,3.474,3.346,1.783,1.729,1.122,0.802,1.073
bind_043_binder,Binder,2.891,2.565,4.622,1.018,0.746,0.683,0.757
bind_069_binder,Binder,2.894,3.024,0.783,0.935,0.435,0.679,1.191
bind_076_binder,Binder,5.085,2.786,1.162,0.76,1.334,0.863,0.777
bind_080_binder,Binder,3.035,2.872,1.09,0.967,0.613,0.68,0.651
bind_083_binder,Binder,2.969,2.794,0.948,0.911,1.088,0.752,1.543
bind_088_binder,Binder,2.784,2.795,0.831,0.618,0.552,1.192,0.839
bind_099_binder,Binder,3.973,2.921,1.492,0.726,0.739,0.677,1.124
bind_100_binder,Binder,2.457,2.931,1.094,1.16,0.914,0.78,0.924
bind_101_binder,Binder,3.618,2.561,0.861,0.793,0.673,0.827,0.791
bind_102_binder,Binder,3.163,3.085,3.207,0.701,1.649,0.753,0.922
bind_110_binder,Binder,2.99,2.914,1.02,0.963,1.194,0.685,1.426
pair_3061_binder,Binder,2.616,2.797,1.042,1.061,0.664,0.733,1.044
nonb_006_nb,False Positive,2.975,2.752,0.768,0.687,0.619,0.828,0.596
nonb_008_nb,False Positive,2.224,2.632,1.769,0.666,0.451,0.703,1.267
nonb_009_nb,False Positive,3.892,2.847,0.803,0.724,1.472,0.736,1.252
nonb_010_nb,False Positive,2.468,3.553,1.139,0.591,0.475,0.892,0.966
nonb_011_nb,False Positive,2.803,2.666,3.83,0.748,0.97,0.641,0.934
nonb_013_nb,False Positive,3.34,2.563,0.819,1.022,0.751,0.656,0.745
nonb_014_nb,False Positive,2.587,2.965,0.906,0.647,0.484,0.598,0.763
nonb_017_nb,False Positive,2.717,2.65,1.127,1.238,0.786,0.753,1.363
nonb_018_nb,False Positive,3.316,2.66,0.822,0.768,1.344,0.695,0.626
nonb_019_nb,False Positive,4.347,2.434,0.817,1.209,1.706,0.695,0.663
nonb_021_nb,False Positive,2.916,2.809,1.077,0.809,1.099,0.708,0.848
nonb_022_nb,False Positive,2.211,2.496,1.469,1.33,0.743,0.664,1.03
nonb_023_nb,False Positive,3.717,2.448,3.256,0.84,0.695,0.652,0.623
nonb_024_nb,False Positive,2.858,3.342,1.052,0.593,0.595,0.673,0.981
nonb_025_nb,False Positive,5.712,2.97,0.983,0.754,0.769,0.759,1.04
nonb_026_nb,False Positive,2.486,2.946,1.21,0.732,0.516,1.039,1.17
nonb_029_nb,False Positive,3.194,2.616,1.865,0.849,1.262,0.684,0.936
nonb_032_nb,False Positive,4.604,2.511,0.835,0.784,0.631,0.705,0.744
nonb_046_nb,False Positive,3.854,3.372,2.124,0.683,0.735,0.647,0.779
nonb_047_nb,False Positive,3.055,2.959,0.96,0.636,0.598,0.657,0.995
nonb_048_nb,False Positive,4.581,5.679,1.088,1.38,1.048,0.762,0.98
nonb_049_nb,False Positive,5.604,2.457,1.336,0.597,0.638,0.627,0.794
nonb_050_nb,False Positive,5.481,2.279,1.343,0.744,0.655,0.695,0.854
nonb_051_nb,False Positive,3.418,2.575,1.16,1.285,0.672,0.707,1.028
nonb_052_nb,False Positive,3.15,3.455,1.206,1.407,0.802,0.644,0.867
nonb_053_nb,False Positive,4.623,2.974,1.052,0.675,1.524,0.724,1.023
nonb_054_nb,False Positive,5.353,2.691,3.116,1.188,0.859,0.767,0.616
nonb_056_nb,False Positive,3.282,2.654,0.735,1.269,0.585,0.799,1.247
nonb_066_nb,False Positive,4.51,3.073,2.371,1.024,0.87,0.772,1.394
nonb_067_nb,False Positive,2.635,2.899,0.968,0.519,0.454,0.652,0.716
nonb_068_nb,False Positive,4.27,2.978,1.921,0.712,0.629,0.829,0.87
nonb_071_nb,False Positive,4.969,2.847,1.289,0.996,0.669,0.664,1.505
nonb_072_nb,False Positive,2.665,2.449,1.5,0.581,0.523,1.29,0.664
nonb_073_nb,False Positive,5.079,3.663,1.388,3.587,1.208,0.988,1.285
nonb_074_nb,False Positive,3.759,2.942,3.236,1.204,0.718,0.712,0.958
nonb_075_nb,False Positive,2.75,2.336,1.321,0.949,0.683,0.826,1.38
nonb_080_nb,False Positive,3.791,3.272,0.872,0.867,1.352,0.823,0.859
nonb_081_nb,False Positive,3.615,2.776,1.2,0.555,0.536,0.574,1.12
nonb_082_nb,False Positive,3.43,2.776,1.434,0.684,0.597,0.898,0.988
nonb_085_nb,False Positive,3.719,3.17,1.932,0.718,0.816,0.77,0.931
nonb_086_nb,False Positive,4.84,3.331,1.172,1.012,0.898,0.923,1.027
nonb_087_nb,False Positive,2.531,2.525,0.855,0.616,0.532,0.734,0.983
nonb_088_nb,False Positive,4.072,2.667,0.679,0.627,0.61,0.823,0.621
nonb_089_nb,False Positive,3.141,2.54,2.936,0.612,0.539,0.807,0.608
nonb_115_nb,False Positive,3.412,2.872,0.9,0.745,0.949,0.806,0.644
nonb_116_nb,False Positive,1.966,2.522,1.014,1.764,0.666,0.986,3.447
nonb_117_nb,False Positive,3.02,3.0,0.961,1.242,0.661,0.927,1.376
