seq_id,seq_type,R_1,R_2,R_3,R_4,R_5,R_6,R_7,R_8,R_9,R_10,R_11,R_12,R_13,R_14,R_15,R_16,R_17,R_18,R_19,R_20,R_21,R_22,R_23,R_24,R_25,R_26,R_27,R_28,R_29,R_30,R_31,R_32,R_33,R_34,R_35,R_36,R_37,R_38,R_39,R_40,R_41,R_42,R_43,R_44,R_45,R_46,R_47,R_48,R_49,R_50,R_51,R_52,R_53,R_54,R_55,R_56,R_57,R_58,R_59,R_60,R_61,R_62,R_63,R_64,R_65,R_66,R_67,R_68,R_69,R_70,R_71,R_72,R_73,R_74,R_75,R_76,R_77,R_78,R_79,R_80,R_81,R_82,R_83,R_84,R_85,R_86,R_87,R_88,R_89,R_90,R_91,R_92,R_93,R_94,R_95,R_96,R_97,R_98,R_99,R_100,R_101,R_102,R_103,R_104,R_105,R_106,R_107,R_108,R_109,R_110,R_111,R_112,R_113,R_114,R_115,R_116,R_117,R_118,R_119,R_120,R_121,R_122,R_123,R_124,R_125,R_126,R_127,R_128,R_129,R_130,R_131,R_132,R_133,R_134,R_135,R_136,R_137,R_138,R_139,R_140,R_141,R_142,R_143,R_144,R_145,R_146,R_147,R_148,R_149,R_150,R_151,R_152,R_153,R_154,R_155,R_156,R_157,R_158,R_159,R_160,R_161,R_162,R_163,R_164,R_165,R_166,R_167,R_168,R_169,R_170,R_171,R_172,R_173,R_174,R_175,R_176,R_177,R_178,R_179,R_180,R_181
pair_3098_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,-0.0032,-0.0032,0.1723,0.0425,,,,,,,,,,,,,,,,,,,0.0047,,0.5908,,,,-0.0213,0.2734,0.4194,,,0.131,,,,,,,,,,,,,,,,,,-0.0467,,,,-0.0006,-0.0595,0.1615,0.2812,-0.0006,-0.0,0.3229,,-0.0863,,,,,,,,,,,,,,,,,,,-0.1269,,-0.0004,,,,,,,,,,,,,,,,-0.0322,0.2767,,0.2514,0.3013,-0.0156,,,0.1098,,,,,,,,,,,,,,
pair_3059_nb,False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0014,0.0479,,,,,,,,,,,,,,,,,,,0.16,,0.0172,,,,0.0348,-0.0852,0.3797,0.0066,0.0309,0.2592,0.0004,,,,,,,,,,,,,,,,,0.0531,,-0.0,-0.0264,-0.0375,0.2105,-0.36,-0.1222,-0.0002,-0.0002,0.0477,,0.5532,,,,,,,,,,,,,,,,,,,,,,,0.0,,,-0.0,,,,,,,,,,,0.2492,-0.0,,,0.2312,0.1097,,,,,,,,,,,,,,,,,
pair_3062_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0791,,0.5475,0.0046,,,,,,,,,,,,,,,,,-0.0029,,0.0272,,0.2659,,,,0.0206,0.5133,0.6054,,,0.4025,,-0.0032,,,,,,,,,,,,,,,,,,,,-0.0005,0.1097,0.4277,0.5593,,,0.4343,,-0.001,,,,,,,,,,,,,,,,,,,-0.0019,,-0.0,,,,,,,,,,,,,,,-0.0014,0.2478,0.1534,-0.0047,-0.0048,0.2555,0.0031,,,0.3751,,,,,,,,,,,,,,
pair_3063_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0018,0.6704,,0.4627,,,,,,,,,,,,,,,,,,,,,,0.2121,,,,0.0296,-0.1294,-0.1793,,-0.2139,0.1074,-0.0047,,,,,,,,,,,,,,,,,-0.18,-0.0047,-0.0594,-0.1422,0.1078,0.0875,,,,,-0.0066,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,0.0,0.136,,-0.0375,0.032,,,-0.001,0.0352,,,,,,,,,,,,,,
pair_3066_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,0.2923,,0.5168,0.0452,,,,,,,,,,,,,,,,,,,,,0.1295,,,,0.0218,-0.0777,0.0344,,-0.0,0.3902,,0.0244,,,,,,,,,,,,,,,,-0.0082,,,,-0.0014,-0.1545,-0.0957,0.0256,,,0.3177,,0.0032,,,,,,,,,,,,,,,,,,,0.0018,,,,0.0,,,,,,,,,,,-0.0,,,-0.1005,0.4396,,-0.0014,0.1294,0.0352,,,0.7332,,,,,,,,,,,,,,
pair_3067_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2557,0.0756,0.5084,0.0172,,,,,,,,,,,,,,,,,,,-0.0047,,0.227,,,,0.0178,-0.0329,-0.0002,,-0.0019,0.0797,,,,,,,,,,,,,,,,,,0.0,,-0.0025,-0.0,-0.0002,0.0295,-0.1226,0.0719,-0.0,,0.1186,,-0.01,,,,,,,,,,,,,,,,,,,-0.0004,,,,,,,,,,,,,,,,,,-0.2931,0.5959,,-0.0066,0.2583,0.5208,,-0.0,0.2563,,,,,,,,,,,,,,
pair_3068_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.0077,0.38,0.0145,,,,,,,,,,,,,,,,,-0.0047,,-0.0141,,0.231,,,,0.1395,-0.0988,0.0074,,,0.1137,,-0.0032,,,,,,,,,,,,,,,,0.0156,,,,-0.0014,0.0441,-0.1036,0.03,,,0.2019,,-0.0066,,-0.0004,,,,,,,,,,,,,,,,,-0.0141,-0.0002,-0.0039,,,,,-0.0,,,,,,,,-0.0,,,0.0473,0.3672,,-0.0172,0.0122,0.0018,,-0.0,0.2242,,,,,,,,,,,,,,
pair_3071_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.16,-0.1097,,,-0.1454,,,-0.1336,0.591,,0.5176,0.001,,,,,,,,,,,,,,,,,0.3883,,0.0025,,0.2889,,,,-0.0081,0.362,0.7566,,,0.4312,,0.0047,,,,,,,,,,,,,,,,-0.0003,,,,,-0.0047,-0.0014,0.0,,,0.4426,,0.2082,,,,,,,,,,,,,,,,,,,0.0285,,,,,,,,,,,,,,,,,,-0.0039,0.3892,,,0.0123,0.0722,,,0.6104,,,,,,,,,,,,,,
pair_3072_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0061,0.582,0.0046,,,,,,,,,,,,,,,,,-0.0006,,-0.0032,,0.0285,-0.0039,,,0.1367,-0.0911,-0.0004,,,0.0371,,-0.0025,,,,,,,,,,,,,,,,,,,,-0.0148,0.1946,-0.221,0.1625,,,0.0125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0102,0.3725,0.1656,,-0.0739,0.1946,0.0087,,-0.0258,0.0155,,,,,,,,,,,,,,
pair_3073_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0002,0.4243,0.0006,,,,,,,,,,,,,,,,,,,,,0.0479,,,-0.0002,0.1951,-0.062,0.0272,,,0.3414,,,,,,,,,,,,,,,,,,0.0657,,,,-0.0002,0.2094,-0.1594,0.1088,-0.0,,0.3555,,,,,,,,,,,,,,,,,,,,,-0.0,,,,-0.0,,,-0.0002,,,-0.0,,,,,-0.0014,,,0.0602,0.1137,,-0.0088,-0.1186,0.0037,,-0.0,0.0075,,,,,,,,,,,,,,
pair_3075_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,-0.0004,,0.5391,0.0043,,,,,,,,,,,,,,,,,-0.0088,,-0.0329,,0.1752,-0.0004,,,0.0889,0.4682,0.566,,,-0.0175,,-0.01,,,,,,,,,,,,,,,,-0.0039,,,,0.0002,0.1546,0.4452,0.2062,,,0.0198,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0014,,,,,,,-0.0,-0.0025,-0.0004,-0.0002,0.1939,0.6617,-0.0002,-0.1182,-0.0139,0.0019,,-0.0004,0.3906,,,,,,,,,,,,,,
pair_3076_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0034,,0.5738,0.0204,,,,,,,,,,,,,,,,,-0.0,,-0.0014,,0.3059,,,,0.0091,-0.1402,0.0654,,-0.0,0.3516,,-0.0002,,,,,,,,,,,,,,-0.0,,-0.0005,,,,-0.0793,0.1699,-0.2407,0.1986,,,0.0043,,-0.0006,,,,,,,,,,,,,,,,,,,-0.0004,,-0.0006,,,,,-0.0207,,,-0.0127,,,,,-0.0077,,,0.0744,0.3477,,-0.0056,0.0,-0.0032,,,0.0112,,,,,,,,,,,,,,
pair_3077_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1053,-0.0014,0.3209,0.0172,,,,,,,,,,,,,,,,,0.0019,,0.0329,,0.2316,,,,0.0294,-0.1175,0.0914,,,0.2182,,0.0039,,,,,,,,,,,,,,,,-0.0225,,,,-0.001,-0.1779,-0.3752,-0.1687,-0.0006,-0.0002,0.1102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2405,0.1354,-0.0,-0.0352,0.1723,0.0004,,-0.0,0.0997,,,,,,,,,,,,,,
pair_3078_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032,,-0.0,,,,,,,-0.0115,0.1758,,0.0329,0.0791,,,,,,,,,,,,,,,,,0.5077,,0.0025,,0.3452,,,,0.0003,0.0,0.0006,,,0.4556,,0.0039,,-0.0002,,,,,,,,,,-0.3306,-0.1969,0.003,,0.2316,,,,,,,0.0,,,0.3934,,0.091,-0.3829,-0.4469,,,,,,,,,,,,,,,,,-0.1182,-0.0002,-0.025,,,,,,,,,,,,,,,,-0.0004,0.825,-0.01,,0.655,0.585,,,-0.0,,,,,,,,,,,,,,
pair_3079_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0125,0.0244,0.5878,0.2105,,,,,,,,,,,,,,,,,-0.001,,-0.0016,,0.2553,,,,-0.0155,-0.06,-0.0405,,,0.1116,,-0.0006,,,,,,,,,,,,,,,,0.0281,,,,-0.0198,-0.2384,-0.4616,-0.2148,,,0.0889,,-0.0019,,,,,,,,,,,,,,,,,,,-0.0039,,-0.0564,,,,,,,,,,,,,,,,-0.0263,0.3175,,0.3741,0.3294,-0.0019,,,0.0056,,,,,,,,,,,,,,
pair_3080_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,0.2712,-0.0004,0.2656,-0.0514,,,,,,,,,,,,,,,,,-0.0479,,-0.1406,,0.4471,,,-0.0,0.0454,-0.1381,0.068,-0.0,-0.0002,0.1607,,-0.0113,,,,,,,,,,,,,,-0.0,,-0.0492,,-0.0006,-0.0,-0.0025,0.1914,-0.1906,-0.0287,-0.0056,-0.01,0.1402,,0.0013,,,,,,,,,,,,,,,,,,,-0.0014,,,,0.0,,,-0.0004,,,,,,,,,,-0.0032,0.2,0.0264,,,0.7639,0.0623,,,0.0653,-0.0004,,,,,,,,,,,,,
pair_3085_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0019,,,,0.0053,,0.7006,0.1572,,,,,,,,,,,,,,,,,-0.1914,,-0.2889,,0.4306,,,,0.0123,-0.1846,-0.057,,,-0.0497,,-0.1502,,,,,,,,,,,,,,,,-0.0025,,,,,-0.6036,-0.5031,-0.1629,,,0.0602,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,-0.0002,,,,,-0.0,,,0.1571,0.2822,,-0.2316,-0.083,0.0032,,,0.25,,,,,,,,,,,,,,
pair_3086_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,,,,-0.0004,-0.0002,0.4364,-0.0634,,,,,,,,,,,,,,,,,-0.1586,,-0.2496,,0.2658,,,-0.0,-0.0335,-0.0152,0.1912,,,-0.0207,,-0.1269,,,,,,,,,,,,,,-0.0,,-0.0139,,,,,-0.01,-0.01,0.0422,,,0.2797,,-0.005,,-0.0,,,,,,,,,,,,,,,,,-0.0189,,-0.0,,,,,,,,,,,,,,,-0.0032,0.1879,0.36,,-0.1531,0.3964,0.1255,,-0.0022,0.1668,,,,,,,,,,,,,,
pair_3087_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,,,,,,,,,,,,,,,,,,-0.01,,,,-0.1535,-0.5256,-0.2889,-0.2647,,,,,,,,,,,,,,,,,-0.1332,,-0.7008,,-0.3379,,,,-0.0066,-0.0032,-0.0492,,,-0.0266,,-0.1097,,,,,,,,,,,,,,-0.0,,-0.3248,,,,-0.0535,-0.1062,0.3108,0.1584,-0.0066,-0.001,0.1533,,-0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0624,0.3729,-0.0014,-0.0425,-0.1938,0.0419,,-0.001,0.0995,,,,,,,,,,,,,,
pair_3088_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0564,,0.0891,0.0535,,,,,,,,,,,,,,,,,0.001,,0.0004,,0.2316,,,,0.0168,0.8001,0.6806,,,0.4104,,,,,,,,,,,,,,,,,,0.0039,,,,,0.3234,0.5166,0.5625,,,0.3094,,,,,,,,,,,,,,,,,,,,,-0.0077,,,,,,,,,,,,,,,,,,0.3894,0.6806,,0.0998,0.4195,0.2284,,,0.4414,,,,,,,,,,,,,,
pair_3091_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0172,0.0225,0.4569,0.1575,,,,,,,,,,,,,,,,,,,-0.0,,0.3827,-0.0,,,0.0566,-0.0082,0.1076,,-0.0002,0.1772,,,,,,,,,,,,,,,,,,-0.0006,,,-0.0722,-0.1788,-0.025,-0.0545,-0.0194,,,0.0221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0014,,-0.0,0.1969,0.2,,-0.0306,-0.0208,0.001,,-0.0,0.1702,,,,,,,,,,,,,,
pair_3099_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0019,0.0117,0.3981,0.0494,,,,,,,,,,,,,,,,,,-0.0006,,-0.0066,,0.186,,,,0.0218,-0.1762,0.0853,,,0.092,,-0.0,,,,,,,,,,,,,,,,-0.0002,,,,,-0.1912,-0.3971,0.0,,,0.0422,,-0.0025,,,,,,,,,,,,,,,,,,,,,-0.0004,,-0.0,-0.0,,-0.0127,-0.0,,-0.259,-0.0002,,,-0.0113,-0.2019,,-0.0006,-0.0225,0.0853,,,0.4002,-0.0006,,,-0.0,,,,,,,,,,,,,,
pair_3100_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,0.0022,0.5344,0.3296,,,,,,,,,,,,,,,,,,,-0.0172,-0.0019,0.0269,-0.0016,-0.0,-0.0006,0.1355,-0.0796,0.1325,-0.0925,-0.0689,-0.0557,,,,,,,,,,,,,,,,,,,,,-0.04,-0.1312,0.0416,-0.0006,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,0.0935,0.0081,,-0.0002,-0.0469,,,-0.0002,-0.0038,,,,,,,,,,,,,,
pair_3101_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0086,0.0006,0.4826,0.0141,,,,,,,,,,,,,,,,,-0.0039,,-0.0066,,0.1727,-0.0002,-0.0,-0.001,0.0422,-0.2259,0.1009,,,0.1387,,-0.0019,,,,,,,,,,,,,,,,0.002,,,-0.0,-0.0066,-0.0246,-0.1618,0.0662,,,0.0629,,,,,,,,,,,,,,,,,,,,,-0.0,,-0.0,,,,,-0.0002,,,-0.0,,,,,-0.0006,,,-0.0667,0.154,-0.0002,-0.0339,-0.0684,0.0223,,-0.0002,0.1314,,,,,,,,,,,,,,
pair_3103_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1754,,0.7088,0.0285,,,,,,,,,,,,,,,,,0.0156,,0.1097,,0.4144,-0.0,,,0.0193,-0.0401,0.1734,,,0.2857,,0.0,,,,,,,,,,,,,,,,-0.0012,,,,-0.0,-0.0919,-0.2082,-0.275,-0.0,,0.2121,,-0.0002,,,,,,,,,,,,,,,,,,,-0.0002,,,,,,,,,,,,,,,-0.0004,,,0.047,0.3484,,-0.0077,0.1808,-0.0004,,-0.0,0.0279,,,,,,,,,,,,,,
pair_3104_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0002,0.1573,,0.3616,0.0244,,,,,,,,,,,,,,,,,0.0189,,0.1056,,0.3829,,,,0.07,0.2691,0.2156,,,0.3633,,0.001,,,,,,,,,,,,,,,,0.0,,,,,-0.0984,-0.0865,0.2756,,,0.1647,,0.0002,,-0.0,,,,,,,,,,,,,,,,,-0.0006,,,,,,,,,,,,,,,-0.0,,,0.1969,0.4447,-0.0,-0.0019,0.1249,0.0006,,,0.5577,,,,,,,,,,,,,,
pair_3108_binder,Binder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0019,,0.6442,0.1422,,,,,,,,,,,,,,,,,-0.0657,,-0.0791,,0.2563,,,,0.1172,-0.2269,-0.1099,,,0.318,,-0.0564,,,,,,,,,,,,,,,,0.0003,,,,-0.0163,0.0859,-0.6375,-0.2179,,,0.457,,,,,,,,,,,,,,,,,,,,,-0.0,,-0.0535,,,,,,,,-0.0,,,,,-0.0002,,,0.3806,0.2975,,-0.0056,0.2475,-0.034,,-0.0,0.36,,,,,,,,,,,,,,
seq1_nb,False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0032,,,0.0052,,,-0.0,0.0049,,0.0763,0.0452,,,,,,,,,,,,,,,,,-0.0038,,0.39,,0.17,-0.0006,,-0.0,0.3605,-0.0873,0.4692,-0.0122,-0.0352,0.434,,-0.0008,,,,,,,,,,,,,,,,0.2552,,0.0,-0.0189,-0.0641,0.2832,-0.0077,-0.0153,-0.0056,-0.0056,0.2789,,0.683,,,,,,,,,,,,,,,,,,,-0.0001,,-0.0002,,,,,,,,,,,,,,,,-0.0021,-0.0005,,-0.0,0.2367,0.528,,,-0.0006,,,,,,,,,,,,,,
seq2_nb,False Positive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.0,,,,-0.0011,-0.0025,0.4105,0.6602,,,,,,,,,,,,,,,,,,,0.0125,,0.7276,,,,-0.0168,-0.0401,-0.0006,,,0.1777,,-0.0,,,,,,,,,,,,,,0.0006,,-0.1023,,,,-0.0001,0.0831,0.0576,-0.0555,-0.25,-0.2256,0.1666,,0.4641,,,,,,,,,,,,,,,,,,,,,,,-0.0023,,,,,,,,,,,,,,-0.018,0.3002,,,-0.0253,0.4479,,,0.0164,,,,,,,,,,,,,,
