residue,R,leg,water_O_idx,acceptor_atom,mean_dist_A,std_dist_A,strong,stable,mechanistic
THR124,-0.7733,water_H → protein,10259,OG1,1.489,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17045,O,1.491,0.0,True,True,True
THR124,-0.7733,water_H → protein,23291,OG1,1.492,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25220,O,1.498,0.0,True,True,True
THR124,-0.7733,water_H → protein,18659,OG1,1.503,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25439,O,1.512,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19082,O,1.513,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23651,O,1.521,0.0,True,True,True
THR124,-0.7733,water_H → protein,11462,OG1,1.542,0.0,True,True,True
THR124,-0.7733,water_H → protein,27407,OG1,1.544,0.0,True,True,True
THR124,-0.7733,water_H → protein,8777,N,1.554,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18290,O,1.559,0.0,True,True,True
THR124,-0.7733,water_H → protein,15683,OG1,1.563,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10019,O,1.566,0.0,True,True,True
THR124,-0.7733,water_H → protein,5795,OG1,1.57,0.0,True,True,True
THR124,-0.7733,water_H → protein,19148,OG1,1.58,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18443,O,1.582,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17057,O,1.597,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16916,O,1.608,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11060,O,1.615,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8045,O,1.618,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8261,O,1.619,0.0,True,True,True
THR124,-0.7733,water_H → protein,16277,OG1,1.636,0.0,True,True,True
THR124,-0.7733,water_H → LCA,12551,O,1.637,0.0,True,True,True
THR124,-0.7733,water_H → LCA,29309,O,1.651,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11900,O,1.66,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18290,O,1.668,0.0,True,True,True
THR124,-0.7733,water_H → protein,18584,OG1,1.672,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18542,O,1.675,0.0,True,True,True
THR124,-0.7733,water_H → protein,20414,OG1,1.676,0.0,True,True,True
THR124,-0.7733,water_H → protein,22466,OG1,1.681,0.0,True,True,True
THR124,-0.7733,water_H → protein,11495,OG1,1.682,0.0,True,True,True
THR124,-0.7733,water_H → protein,7307,OG1,1.685,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26807,O,1.686,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8261,O,1.688,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21998,O,1.688,0.0,True,True,True
THR124,-0.7733,water_H → protein,28061,OG1,1.693,0.0,True,True,True
THR124,-0.7733,water_H → protein,8777,OG1,1.694,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10883,O,1.696,0.0,True,True,True
THR124,-0.7733,water_H → protein,4052,OG1,1.7,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7790,O,1.705,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10406,O,1.716,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25625,O,1.718,0.0,True,True,True
THR124,-0.7733,water_H → protein,19133,OG1,1.721,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18482,O,1.725,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7241,O,1.728,0.0,True,True,True
THR124,-0.7733,water_H → protein,8240,OG1,1.728,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8945,O,1.731,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8471,O,1.732,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17057,O,1.737,0.0,True,True,True
THR124,-0.7733,water_H → LCA,14903,O,1.756,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3287,O,1.757,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7910,O,1.759,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11900,O,1.759,0.0,True,True,True
THR124,-0.7733,water_H → protein,19721,OG1,1.768,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10019,O,1.77,0.0,True,True,True
THR124,-0.7733,water_H → protein,20573,OG1,1.77,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8945,O,1.771,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18581,O,1.772,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3026,O,1.773,0.0,True,True,True
THR124,-0.7733,water_H → protein,18410,OG1,1.775,0.0,True,True,True
THR124,-0.7733,water_H → protein,11723,OG1,1.786,0.0,True,True,True
THR124,-0.7733,water_H → protein,3755,OG1,1.787,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15158,O,1.792,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15137,O,1.793,0.0,True,True,True
THR124,-0.7733,water_H → protein,21701,OG1,1.793,0.0,True,True,True
THR124,-0.7733,water_H → protein,19565,OG1,1.8,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3872,O,1.803,0.0,True,True,True
THR124,-0.7733,water_H → protein,18848,OG1,1.805,0.0,True,True,True
THR124,-0.7733,water_H → protein,24566,OG1,1.807,0.0,True,True,True
THR124,-0.7733,water_H → protein,23804,OG1,1.814,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13043,O,1.815,0.0,True,True,True
THR124,-0.7733,water_H → protein,26714,OG1,1.821,0.0,True,True,True
THR124,-0.7733,water_H → protein,23804,OG1,1.828,0.0,True,True,True
THR124,-0.7733,water_H → protein,3758,OG1,1.833,0.0,True,True,True
THR124,-0.7733,water_H → protein,19412,OG1,1.833,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24332,O,1.838,0.0,True,True,True
THR124,-0.7733,water_H → protein,26228,OG1,1.847,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22154,O,1.849,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22013,O,1.853,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4481,O,1.857,0.0,True,True,True
THR124,-0.7733,water_H → protein,5027,OG1,1.86,0.0,True,True,True
THR124,-0.7733,water_H → protein,20840,OG1,1.861,0.0,True,True,True
THR124,-0.7733,water_H → protein,21977,OG1,1.863,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25097,O,1.864,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10040,O,1.867,0.0,True,True,True
THR124,-0.7733,water_H → protein,27884,OG1,1.868,0.0,True,True,True
THR124,-0.7733,water_H → LCA,14531,O,1.871,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26546,O,1.872,0.0,True,True,True
THR124,-0.7733,water_H → protein,12845,OG1,1.879,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23759,O,1.883,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18764,O,1.884,0.0,True,True,True
THR124,-0.7733,water_H → protein,23540,OG1,1.888,0.0,True,True,True
THR124,-0.7733,water_H → protein,25760,N,1.896,0.0,True,True,True
THR124,-0.7733,water_H → protein,20789,OG1,1.902,0.0,True,True,True
THR124,-0.7733,water_H → protein,14258,OG1,1.904,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22013,O,1.905,0.0,True,True,True
THR124,-0.7733,water_H → protein,3908,OG1,1.915,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17927,O,1.915,0.0,True,True,True
THR124,-0.7733,water_H → protein,6851,OG1,1.916,0.0,True,True,True
THR124,-0.7733,water_H → protein,11027,OG1,1.917,0.0,True,True,True
THR124,-0.7733,water_H → protein,22736,OG1,1.918,0.0,True,True,True
THR124,-0.7733,water_H → protein,9296,OG1,1.921,0.0,True,True,True
THR124,-0.7733,water_H → protein,12551,OG1,1.923,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9041,O,1.926,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4874,O,1.928,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26006,O,1.931,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11810,O,1.939,0.0,True,True,True
THR124,-0.7733,water_H → LCA,6815,O,1.945,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19082,O,1.945,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17882,O,1.952,0.0,True,True,True
THR124,-0.7733,water_H → LCA,29309,O,1.959,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18482,O,1.962,0.0,True,True,True
THR124,-0.7733,water_H → protein,12893,OG1,1.976,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9551,O,1.981,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5630,O,1.983,0.0,True,True,True
THR124,-0.7733,water_H → protein,23975,OG1,1.983,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24332,O,1.984,0.0,True,True,True
THR124,-0.7733,water_H → protein,9524,OG1,1.988,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11900,O,1.989,0.0,True,True,True
THR124,-0.7733,water_H → protein,13397,OG1,1.99,0.0,True,True,True
THR124,-0.7733,water_H → protein,26357,OG1,1.992,0.0,True,True,True
THR124,-0.7733,water_H → protein,9857,OG1,1.996,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23012,O,1.998,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8945,O,2.004,0.0,True,True,True
THR124,-0.7733,water_H → protein,20840,OG1,2.012,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4481,O,2.015,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24329,O,2.015,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18062,O,2.018,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18581,O,2.019,0.0,True,True,True
THR124,-0.7733,water_H → protein,27236,OG1,2.02,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18167,O,2.028,0.0,True,True,True
THR124,-0.7733,water_H → protein,14669,OG1,2.036,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7553,O,2.039,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20864,O,2.04,0.0,True,True,True
THR124,-0.7733,water_H → protein,18983,OG1,2.041,0.0,True,True,True
THR124,-0.7733,water_H → protein,9167,OG1,2.046,0.0,True,True,True
THR124,-0.7733,water_H → protein,14795,OG1,2.047,0.0,True,True,True
THR124,-0.7733,water_H → protein,19610,OG1,2.054,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5765,O,2.061,0.0,True,True,True
THR124,-0.7733,water_H → protein,3521,OG1,2.066,0.0,True,True,True
THR124,-0.7733,water_H → protein,26624,OG1,2.076,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26006,O,2.077,0.0,True,True,True
THR124,-0.7733,water_H → protein,20414,OG1,2.078,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19835,O,2.079,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22247,O,2.082,0.0,True,True,True
THR124,-0.7733,water_H → LCA,28358,O,2.083,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4700,O,2.085,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25196,O,2.089,0.0,True,True,True
THR124,-0.7733,water_H → protein,18941,OG1,2.09,0.0,True,True,True
THR124,-0.7733,water_H → protein,7100,N,2.093,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25625,O,2.093,0.0,True,True,True
THR124,-0.7733,water_H → protein,5087,OG1,2.095,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23759,O,2.095,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18542,O,2.098,0.0,True,True,True
THR124,-0.7733,water_H → protein,5510,OG1,2.106,0.0,True,True,True
THR124,-0.7733,water_H → protein,5288,OG1,2.107,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22736,O,2.11,0.0,True,True,True
THR124,-0.7733,water_H → protein,26990,OG1,2.111,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7553,O,2.116,0.0,True,True,True
THR124,-0.7733,water_H → protein,3899,OG1,2.118,0.0,True,True,True
THR124,-0.7733,water_H → protein,10835,OG1,2.121,0.0,True,True,True
THR124,-0.7733,water_H → protein,22466,OG1,2.121,0.0,True,True,True
THR124,-0.7733,water_H → protein,18863,OG1,2.128,0.244,True,True,True
THR124,-0.7733,water_H → LCA,27839,O,2.136,0.0,True,True,True
THR124,-0.7733,water_H → protein,19721,OG1,2.137,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5735,O,2.143,0.0,True,True,True
THR124,-0.7733,water_H → LCA,29309,O,2.147,0.0,True,True,True
THR124,-0.7733,water_H → protein,9542,OG1,2.151,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22154,O,2.152,0.0,True,True,True
THR124,-0.7733,water_H → protein,25004,OG1,2.153,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20828,O,2.157,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16898,O,2.167,0.0,True,True,True
THR124,-0.7733,water_H → protein,9125,OG1,2.17,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26228,O,2.17,0.0,True,True,True
THR124,-0.7733,water_H → protein,19133,OG1,2.175,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16388,O,2.186,0.0,True,True,True
THR124,-0.7733,water_H → protein,14591,OG1,2.192,0.0,True,True,True
THR124,-0.7733,water_H → LCA,28460,O,2.192,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10730,O,2.193,0.0,True,True,True
THR124,-0.7733,water_H → protein,4157,OG1,2.195,0.0,True,True,True
THR124,-0.7733,water_H → protein,18893,OG1,2.195,0.0,True,True,True
THR124,-0.7733,water_H → protein,20840,N,2.197,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23651,O,2.198,0.0,True,True,True
THR124,-0.7733,water_H → protein,10727,N,2.205,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20138,O,2.206,0.0,True,True,True
THR124,-0.7733,water_H → protein,20789,OG1,2.206,0.0,True,True,True
THR124,-0.7733,water_H → LCA,6842,O,2.207,0.0,True,True,True
THR124,-0.7733,water_H → protein,16277,OG1,2.207,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26228,O,2.207,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17045,O,2.212,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8039,O,2.214,0.0,True,True,True
THR124,-0.7733,water_H → protein,12260,OG1,2.216,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21557,O,2.223,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8111,O,2.224,0.0,True,True,True
THR124,-0.7733,water_H → protein,8285,OG1,2.226,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16277,O,2.228,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21329,O,2.234,0.0,True,True,True
THR124,-0.7733,water_H → protein,15641,OG1,2.239,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9845,O,2.24,0.0,True,True,True
THR124,-0.7733,water_H → protein,18461,OG1,2.24,0.0,True,True,True
THR124,-0.7733,water_H → protein,4157,OG1,2.242,0.0,True,True,True
THR124,-0.7733,water_H → LCA,6815,O,2.246,0.0,True,True,True
THR124,-0.7733,water_H → LCA,14903,O,2.246,0.0,True,True,True
THR124,-0.7733,water_H → protein,20789,N,2.248,0.0,True,True,True
THR124,-0.7733,water_H → protein,8261,OG1,2.249,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20264,O,2.249,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16358,O,2.252,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3434,O,2.253,0.0,True,True,True
THR124,-0.7733,water_H → LCA,3533,O,2.258,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19124,O,2.258,0.0,True,True,True
THR124,-0.7733,water_H → LCA,26120,O,2.261,0.0,True,True,True
THR124,-0.7733,water_H → protein,17804,OG1,2.263,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4874,O,2.267,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9383,O,2.267,0.0,True,True,True
THR124,-0.7733,water_H → protein,16820,OG1,2.267,0.0,True,True,True
THR124,-0.7733,water_H → protein,16211,OG1,2.268,0.0,True,True,True
THR124,-0.7733,water_H → protein,28019,OG1,2.27,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25097,O,2.272,0.0,True,True,True
THR124,-0.7733,water_H → protein,8285,OG1,2.274,0.0,True,True,True
THR124,-0.7733,water_H → LCA,6842,O,2.276,0.0,True,True,True
THR124,-0.7733,water_H → protein,3818,OG1,2.28,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15110,O,2.281,0.0,True,True,True
THR124,-0.7733,water_H → protein,23540,N,2.285,0.0,True,True,True
THR124,-0.7733,water_H → LCA,28709,O,2.286,0.5189,True,False,False
THR124,-0.7733,water_H → LCA,4982,O,2.287,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11555,O,2.292,0.0,True,True,True
THR124,-0.7733,water_H → LCA,5423,O,2.293,0.0,True,True,True
THR124,-0.7733,water_H → LCA,11495,O,2.294,0.0,True,True,True
THR124,-0.7733,water_H → LCA,12905,O,2.295,0.0,True,True,True
THR124,-0.7733,water_H → protein,5765,OG1,2.298,0.0,True,True,True
THR124,-0.7733,water_H → LCA,9125,O,2.298,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17927,O,2.299,0.0,True,True,True
THR124,-0.7733,water_H → protein,8939,OG1,2.301,0.0,True,True,True
THR124,-0.7733,water_H → protein,9032,OG1,2.302,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21779,O,2.302,0.0,True,True,True
THR124,-0.7733,water_H → LCA,29312,O,2.302,0.0,True,True,True
THR124,-0.7733,water_H → protein,16355,OG1,2.303,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10406,O,2.305,0.0,True,True,True
THR124,-0.7733,water_H → LCA,17462,O,2.305,0.0,True,True,True
THR124,-0.7733,water_H → LCA,18581,O,2.31,0.0,True,True,True
THR124,-0.7733,water_H → protein,10367,OG1,2.313,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10163,O,2.314,0.0,True,True,True
THR124,-0.7733,water_H → protein,8948,OG1,2.317,0.0,True,True,True
THR124,-0.7733,water_H → LCA,23330,O,2.319,0.0,True,True,True
THR124,-0.7733,water_H → LCA,22082,O,2.321,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19610,O,2.324,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24800,O,2.328,0.0,True,True,True
THR124,-0.7733,water_H → LCA,21848,O,2.331,0.0,True,True,True
THR124,-0.7733,water_H → protein,27839,OG1,2.331,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19148,O,2.338,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25439,O,2.338,0.0,True,True,True
THR124,-0.7733,water_H → protein,25256,OG1,2.34,0.0,True,True,True
THR124,-0.7733,water_H → protein,20606,OG1,2.344,0.0,True,True,True
THR124,-0.7733,water_H → protein,28475,OG1,2.344,0.0,True,True,True
THR124,-0.7733,water_H → protein,7802,OG1,2.351,0.0,True,True,True
THR124,-0.7733,water_H → protein,9125,OG1,2.351,0.0,True,True,True
THR124,-0.7733,water_H → protein,18848,OG1,2.358,0.0,True,True,True
THR124,-0.7733,water_H → protein,20840,N,2.359,0.0,True,True,True
THR124,-0.7733,water_H → LCA,24296,O,2.359,0.0,True,True,True
THR124,-0.7733,water_H → protein,13832,OG1,2.361,0.0,True,True,True
THR124,-0.7733,water_H → protein,25796,OG1,2.361,0.0,True,True,True
THR124,-0.7733,water_H → LCA,6842,O,2.363,0.0,True,True,True
THR124,-0.7733,water_H → LCA,12278,O,2.364,0.0,True,True,True
THR124,-0.7733,water_H → LCA,15137,O,2.364,0.0,True,True,True
THR124,-0.7733,water_H → protein,25286,OG1,2.364,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4775,O,2.365,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10883,O,2.37,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7505,O,2.372,0.0,True,True,True
THR124,-0.7733,water_H → protein,17192,OG1,2.375,0.6975,True,False,False
THR124,-0.7733,water_H → protein,11027,N,2.377,0.0,True,True,True
THR124,-0.7733,water_H → protein,17282,N,2.377,0.0,True,True,True
THR124,-0.7733,water_H → LCA,28685,O,2.377,0.0,True,True,True
THR124,-0.7733,water_H → protein,7307,OG1,2.381,0.0,True,True,True
THR124,-0.7733,water_H → LCA,8309,O,2.381,0.0204,True,True,True
THR124,-0.7733,water_H → LCA,11651,O,2.382,0.0,True,True,True
THR124,-0.7733,water_H → protein,11981,OG1,2.383,0.0,True,True,True
THR124,-0.7733,water_H → protein,6440,OG1,2.385,0.0,True,True,True
THR124,-0.7733,water_H → protein,17069,OG1,2.387,0.0,True,True,True
THR124,-0.7733,water_H → LCA,16916,O,2.388,0.0,True,True,True
THR124,-0.7733,water_H → protein,11981,OG1,2.391,0.0,True,True,True
THR124,-0.7733,water_H → protein,21848,OG1,2.391,0.0,True,True,True
THR124,-0.7733,water_H → LCA,25439,O,2.391,0.0,True,True,True
THR124,-0.7733,water_H → LCA,20606,O,2.393,0.0,True,True,True
THR124,-0.7733,water_H → protein,5477,OG1,2.398,0.0,True,True,True
THR124,-0.7733,water_H → LCA,7382,O,2.398,0.0,True,True,True
THR124,-0.7733,water_H → LCA,19082,O,2.399,0.0,True,True,True
THR124,-0.7733,water_H → LCA,4901,O,2.401,0.0,True,True,True
THR124,-0.7733,water_H → protein,19193,OG1,2.402,0.0,True,True,True
THR124,-0.7733,water_H → LCA,10019,O,2.403,0.0,True,True,True
THR124,-0.7733,water_H → protein,3413,OG1,2.404,0.0,True,True,True
THR124,-0.7733,water_H → protein,25760,OG1,2.408,0.0,True,True,True
THR124,-0.7733,water_H → protein,18893,N,2.409,0.0,True,True,True
THR124,-0.7733,water_H → protein,5027,OG1,2.411,0.0,True,True,True
THR124,-0.7733,water_H → protein,24566,OG1,2.411,0.0,True,True,True
THR124,-0.7733,water_H → protein,26807,OG1,2.411,0.0,True,True,True
THR124,-0.7733,water_H → LCA,12260,O,2.413,0.0,True,True,True
THR124,-0.7733,water_H → LCA,13685,O,2.413,0.0,True,True,True
THR124,-0.7733,water_H → protein,3533,OG1,2.415,0.0,True,True,True
THR124,-0.7733,water_H → protein,17321,OG1,2.417,0.0,True,True,True
THR124,-0.7733,water_H → protein,11651,OG1,2.418,0.0,True,True,True
THR124,-0.7733,water_H → protein,19718,OG1,2.421,0.0,True,True,True
